KINC,Element,IntegrationPoint,LCS_Iteration,DLNR_Iteration
2,1,1,5.0,6.0
2,1,2,4.0,6.0
2,1,3,4.0,8.0
2,1,4,7.0,7.0
2,1,5,13.0,4.0
2,1,6,13.0,5.0
2,1,7,22.0,4.0
2,1,8,18.0,4.0
2,2,1,5.0,4.0
2,2,2,5.0,4.0
2,2,3,13.0,4.0
2,2,4,3.0,5.0
2,2,5,24.0,4.0
2,2,6,5.0,4.0
2,2,7,6.0,4.0
2,2,8,8.0,0.0
2,3,1,22.0,6.0
2,3,2,6.0,4.0
2,3,3,23.0,4.0
2,3,4,4.0,7.0
2,3,5,4.0,7.0
2,3,6,23.0,6.0
2,3,7,3.0,6.0
2,3,8,26.0,6.0
2,4,1,5.0,4.0
2,4,2,4.0,7.0
2,4,3,3.0,4.0
2,4,4,5.0,4.0
2,4,5,18.0,6.0
2,4,6,4.0,4.0
2,4,7,21.0,5.0
2,4,8,21.0,7.0
2,5,1,24.0,3.0
2,5,2,24.0,4.0
2,5,3,4.0,7.0
2,5,4,4.0,6.0
2,5,5,5.0,7.0
2,5,6,22.0,7.0
2,5,7,23.0,6.0
2,5,8,13.0,3.0
2,6,1,4.0,7.0
2,6,2,6.0,4.0
2,6,3,5.0,4.0
2,6,4,5.0,4.0
2,6,5,5.0,5.0
2,6,6,5.0,7.0
2,6,7,4.0,4.0
2,6,8,5.0,6.0
2,7,1,4.0,4.0
2,7,2,14.0,4.0
2,7,3,14.0,5.0
2,7,4,5.0,4.0
2,7,5,5.0,4.0
2,7,6,11.0,4.0
2,7,7,13.0,4.0
2,7,8,9.0,4.0
2,8,1,4.0,3.0
2,8,2,5.0,4.0
2,8,3,6.0,4.0
2,8,4,4.0,5.0
2,8,5,14.0,6.0
2,8,6,4.0,5.0
2,8,7,17.0,6.0
2,8,8,4.0,5.0
2,9,1,13.0,6.0
2,9,2,5.0,6.0
2,9,3,20.0,6.0
2,9,4,25.0,6.0
2,9,5,6.0,5.0
2,9,6,31.0,5.0
2,9,7,26.0,4.0
2,9,8,29.0,5.0
2,10,1,16.0,6.0
2,10,2,5.0,6.0
2,10,3,12.0,5.0
2,10,4,19.0,6.0
2,10,5,23.0,5.0
2,10,6,6.0,6.0
2,10,7,5.0,5.0
2,10,8,5.0,6.0
2,11,1,27.0,6.0
2,11,2,25.0,4.0
2,11,3,5.0,4.0
2,11,4,26.0,5.0
2,11,5,22.0,6.0
2,11,6,5.0,4.0
2,11,7,13.0,7.0
2,11,8,11.0,4.0
2,12,1,28.0,4.0
2,12,2,5.0,6.0
2,12,3,13.0,6.0
2,12,4,26.0,6.0
2,12,5,26.0,5.0
2,12,6,33.0,5.0
2,12,7,18.0,4.0
2,12,8,3.0,4.0
2,13,1,27.0,3.0
2,13,2,30.0,4.0
2,13,3,5.0,4.0
2,13,4,26.0,4.0
2,13,5,13.0,4.0
2,13,6,4.0,4.0
2,13,7,4.0,4.0
2,13,8,26.0,4.0
2,14,1,27.0,4.0
2,14,2,12.0,5.0
2,14,3,4.0,4.0
2,14,4,4.0,4.0
2,14,5,4.0,5.0
2,14,6,3.0,4.0
2,14,7,6.0,4.0
2,14,8,5.0,4.0
2,15,1,4.0,4.0
2,15,2,3.0,4.0
2,15,3,5.0,4.0
2,15,4,4.0,4.0
2,15,5,4.0,4.0
2,15,6,4.0,4.0
2,15,7,4.0,4.0
2,15,8,4.0,4.0
2,16,1,5.0,6.0
2,16,2,5.0,4.0
2,16,3,4.0,6.0
2,16,4,23.0,4.0
2,16,5,4.0,4.0
2,16,6,5.0,4.0
2,16,7,6.0,4.0
2,16,8,23.0,4.0
2,17,1,5.0,4.0
2,17,2,6.0,4.0
2,17,3,5.0,4.0
2,17,4,4.0,3.0
2,17,5,4.0,5.0
2,17,6,4.0,4.0
2,17,7,23.0,5.0
2,17,8,4.0,6.0
2,18,1,6.0,4.0
2,18,2,4.0,4.0
2,18,3,5.0,5.0
2,18,4,5.0,4.0
2,18,5,8.0,4.0
2,18,6,4.0,5.0
2,18,7,4.0,5.0
2,18,8,5.0,4.0
2,19,1,5.0,4.0
2,19,2,17.0,6.0
2,19,3,9.0,5.0
2,19,4,11.0,7.0
2,19,5,4.0,5.0
2,19,6,21.0,4.0
2,19,7,12.0,3.0
2,19,8,5.0,4.0
2,20,1,5.0,4.0
2,20,2,4.0,4.0
2,20,3,14.0,4.0
2,20,4,13.0,4.0
2,20,5,5.0,4.0
2,20,6,17.0,4.0
2,20,7,5.0,4.0
2,20,8,3.0,4.0
2,21,1,9.0,4.0
2,21,2,16.0,3.0
2,21,3,5.0,6.0
2,21,4,19.0,3.0
2,21,5,24.0,5.0
2,21,6,19.0,5.0
2,21,7,20.0,3.0
2,21,8,5.0,6.0
2,22,1,21.0,4.0
2,22,2,5.0,4.0
2,22,3,23.0,5.0
2,22,4,20.0,7.0
2,22,5,4.0,7.0
2,22,6,5.0,6.0
2,22,7,4.0,4.0
2,22,8,5.0,5.0
2,23,1,6.0,4.0
2,23,2,28.0,7.0
2,23,3,27.0,7.0
2,23,4,25.0,6.0
2,23,5,6.0,4.0
2,23,6,3.0,6.0
2,23,7,4.0,6.0
2,23,8,4.0,7.0
2,24,1,5.0,7.0
2,24,2,4.0,7.0
2,24,3,5.0,5.0
2,24,4,4.0,6.0
2,24,5,5.0,6.0
2,24,6,4.0,6.0
2,24,7,6.0,5.0
2,24,8,4.0,6.0
2,25,1,34.0,5.0
2,25,2,20.0,5.0
2,25,3,5.0,6.0
2,25,4,5.0,6.0
2,25,5,34.0,6.0
2,25,6,4.0,4.0
2,25,7,3.0,4.0
2,25,8,5.0,6.0
2,26,1,5.0,6.0
2,26,2,25.0,4.0
2,26,3,5.0,6.0
2,26,4,5.0,3.0
2,26,5,4.0,4.0
2,26,6,5.0,4.0
2,26,7,4.0,3.0
2,26,8,5.0,4.0
2,27,1,5.0,4.0
2,27,2,15.0,6.0
2,27,3,6.0,4.0
2,27,4,23.0,6.0
2,27,5,4.0,4.0
2,27,6,4.0,4.0
2,27,7,27.0,4.0
2,27,8,5.0,4.0
2,28,1,6.0,4.0
2,28,2,5.0,5.0
2,28,3,18.0,4.0
2,28,4,20.0,4.0
2,28,5,24.0,3.0
2,28,6,21.0,4.0
2,28,7,5.0,3.0
2,28,8,25.0,4.0
2,29,1,22.0,4.0
2,29,2,4.0,3.0
2,29,3,4.0,4.0
2,29,4,5.0,6.0
2,29,5,26.0,4.0
2,29,6,18.0,4.0
2,29,7,5.0,4.0
2,29,8,20.0,5.0
2,30,1,5.0,5.0
2,30,2,5.0,6.0
2,30,3,19.0,6.0
2,30,4,6.0,5.0
2,30,5,5.0,5.0
2,30,6,6.0,4.0
2,30,7,32.0,5.0
2,30,8,19.0,5.0
2,31,1,10.0,4.0
2,31,2,12.0,5.0
2,31,3,4.0,6.0
2,31,4,9.0,5.0
2,31,5,4.0,6.0
2,31,6,5.0,5.0
2,31,7,5.0,4.0
2,31,8,3.0,5.0
2,32,1,18.0,6.0
2,32,2,5.0,4.0
2,32,3,5.0,6.0
2,32,4,32.0,3.0
2,32,5,10.0,4.0
2,32,6,11.0,5.0
2,32,7,5.0,5.0
2,32,8,5.0,5.0
2,33,1,5.0,6.0
2,33,2,5.0,5.0
2,33,3,29.0,5.0
2,33,4,5.0,7.0
2,33,5,25.0,5.0
2,33,6,26.0,5.0
2,33,7,11.0,5.0
2,33,8,13.0,5.0
2,34,1,14.0,5.0
2,34,2,13.0,5.0
2,34,3,3.0,5.0
2,34,4,23.0,6.0
2,34,5,23.0,4.0
2,34,6,4.0,6.0
2,34,7,28.0,4.0
2,34,8,4.0,5.0
2,35,1,15.0,5.0
2,35,2,23.0,6.0
