Case,KINC,Step_Time,Element,IP,NR_Iteration,Residual_PsiNorm
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,1,6.0984264908225703e+02
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,2,4.6625865748536680e+12
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,3,1.6918166198752930e+12
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,4,6.1387863326479919e+11
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,5,2.2274666737636206e+11
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,6,8.0823905152183594e+10
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,7,2.9327071499992085e+10
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,8,1.0641367058855356e+10
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,9,3.8612343846845641e+09
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,10,1.4010540365100205e+09
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,11,5.0837429142525941e+08
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,12,1.8446423871498016e+08
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,13,6.6933035139041334e+07
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,14,2.4286675451551303e+07
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,15,8.8123829469917752e+06
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,16,3.1975129186319285e+06
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,17,1.1601498514481387e+06
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,18,4.2089134973553679e+05
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,19,1.5264923819352125e+05
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,20,5.5313416695837994e+04
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,21,1.9990853602774816e+04
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,22,7.1704215255587278e+03
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,23,2.5163683377698626e+03
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,24,8.2932396648752365e+02
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,25,2.2826555879764240e+02
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,26,3.7765968266515834e+01
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,27,1.6409547044174297e+00
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,28,3.4798521372294347e-03
LCS_eta_1.00,3,1.2000000000000000e+00,2515,1,29,1.5733961858460571e-08
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,1,5.3525655274614189e+02
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,2,4.8577643790731997e+02
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,3,1.8642616410380245e+10
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,4,6.7644984878543148e+09
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,5,2.4545073235800204e+09
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,6,8.9062124833181417e+08
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,7,3.2316308124661434e+08
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,8,1.1726011694203132e+08
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,9,4.2547945191792950e+07
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,10,1.5438529543623438e+07
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,11,5.6018382504214449e+06
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,12,2.0325777641291381e+06
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,13,7.3746276691792428e+05
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,14,2.6752468764566880e+05
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,15,9.7003420867841050e+04
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,16,3.5126224958123777e+04
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,17,1.2671041052134302e+04
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,18,4.5208968268814751e+03
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,19,1.5631290794658544e+03
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,20,4.9405110873278096e+02
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,21,1.2088045550192629e+02
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,22,1.4511684263031690e+01
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,23,2.9170935229516154e-01
LCS_eta_0.09,2,1.2000000000000000e+00,2515,1,24,1.2439256086032744e-04
LSTM_eta_1.00,2,1.2000000000000000e+00,2515,1,1,1.5665312702709355e+02
LSTM_eta_1.00,2,1.2000000000000000e+00,2515,1,2,3.4308049401802194e+01
LSTM_eta_1.00,2,1.2000000000000000e+00,2515,1,3,2.4150288102225677e+00
LSTM_eta_1.00,2,1.2000000000000000e+00,2515,1,4,1.8677710737287342e-02
LSTM_eta_1.00,2,1.2000000000000000e+00,2515,1,5,2.3317374568725765e-06
LSTM_eta_0.09,2,1.2000000000000000e+00,2515,1,1,9.0896272986652740e+00
LSTM_eta_0.09,2,1.2000000000000000e+00,2515,1,2,8.2715718444876511e+00
LSTM_eta_0.09,2,1.2000000000000000e+00,2515,1,3,1.3615657699464015e-03
LSTM_eta_0.09,2,1.2000000000000000e+00,2515,1,4,7.2594547616075202e-11
