Case,KINC,Step_Time,Element,IP,NR_Iteration,Residual_PsiNorm
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,1,2.2245988038307152e+02
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,2,2.8312876169703412e+02
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,3,5.7648067924106797e+01
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,4,4.3045768516256384e+00
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,5,2.9426511290399800e-02
LCS_eta_1.00,20,1.0800000000000001e+01,961,5,6,1.4005440937285501e-06
LCS_eta_0.09,18,1.0800000000000001e+01,961,5,1,5.7601165671152366e+01
LCS_eta_0.09,18,1.0800000000000001e+01,961,5,2,5.2443880481477649e+01
LCS_eta_0.09,18,1.0800000000000001e+01,961,5,3,3.7298520339147081e+00
LCS_eta_0.09,18,1.0800000000000001e+01,961,5,4,1.6394834118994454e-02
LCS_eta_0.09,18,1.0800000000000001e+01,961,5,5,4.4227253282724761e-07
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,1,6.8315194145333828e+02
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,2,2.4149919441026221e+12
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,3,8.7628247368820337e+11
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,4,3.1795997345777557e+11
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,5,1.1537212709796831e+11
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,6,4.1862941062370636e+10
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,7,1.5190023030734554e+10
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,8,5.5117201094489956e+09
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,9,1.9999349860359917e+09
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,10,7.2567900980776572e+08
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,11,2.6331350675011614e+08
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,12,9.5543555686187968e+07
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,13,3.4667996330251135e+07
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,14,1.2579211466466457e+07
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,15,4.5642604170077182e+06
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,16,1.6560191810494186e+06
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,17,6.0075469898914709e+05
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,18,2.1784555649037639e+05
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,19,7.8901739584943003e+04
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,20,2.8481557976391308e+04
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,21,1.0183407477368211e+04
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,22,3.5436685973573321e+03
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,23,1.1418157774650433e+03
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,24,2.9564970517918613e+02
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,25,4.1525323217753396e+01
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,26,1.2139430867445766e+00
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,27,1.1226151465725781e-03
LSTM_eta_1.00,18,1.0800000000000001e+01,961,5,28,9.6868402193299487e-10
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,1,4.3349270600095053e+02
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,2,3.9283384884357912e+02
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,3,1.9679361080504421e+02
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,4,1.6626325470022252e+01
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,5,1.5286922618249407e-01
LSTM_eta_0.09,18,1.0800000000000001e+01,961,5,6,1.3464176080465834e-05
