Case,Size,Folder,RVE,Point_Index,True_Strain,True_Stress,Source_File
01_001_20,L=1.6um,161616,RVE1,1,0.0,0.0,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,2,0.0059820717293904,373.4706379368805,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,3,0.011928570968345,732.8891437809078,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,4,0.0178399173671714,859.0143777746122,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,5,0.0237165268210428,883.4945680510853,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,6,0.0295588015905227,897.4244922517559,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,7,0.0353671423414218,908.237593484306,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,8,0.0411419427877547,916.675663926756,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,9,0.046883586296973,923.1345661977516,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,10,0.0525924514481166,928.0559417421788,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,11,0.0582689068587828,931.8917048108148,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
01_001_20,L=1.6um,161616,RVE1,12,0.063913325408167,934.9252419911478,F:\1_job\20251124\CPFE_PARAMATER_TEST_PBC\1_CPFE_3DMODEL_BUILD\4_BASE_ROOT\job\161616\RVE1\01_001_20.csv
