Case,Size,Folder,Sample_Index,True_Strain,RVE1_Stress,RVE2_Stress,RVE3_Stress,Mean_Stress,Errorbar_Lower,Errorbar_Upper,Experiment_Stress,Relative_Error_pct
01_001_20,L=1.6um,161616,1,0.02875,895.4960405280849,1035.2359351246994,961.9710106590522,964.2343287706121,69.897435518936,69.897435518936,1056.4119516666667,8.725537679749735
01_001_20,L=1.6um,161616,2,0.051750000000000004,927.3296993377146,1075.562507602628,1038.1452644290855,1013.6791571231428,77.08556393096623,77.08556393096623,1071.5624934736843,5.401769537761733
01_001_20,L=1.6um,161616,3,0.07475000000000001,939.1985246452379,1093.113009432042,1073.1989675617292,1035.170167213003,83.70817999914523,83.70817999914523,1085.3314277634408,4.621745880316573
01_001_20,L=1.6um,161616,4,0.09775,943.9206264954877,1101.8525773042752,1089.96190576487,1045.2450365215443,87.95069111587942,87.95069111587942,1096.4058213656388,4.666227034472568
01_001_20,L=2.0um,202020,1,0.02875,992.2645061092021,1008.2067407999531,1002.7490943826598,1001.0734470972716,8.102132873664653,8.102132873664653,1056.4119516666667,5.238345181734206
01_001_20,L=2.0um,202020,2,0.051750000000000004,1056.9948291732503,1070.4567864254966,1090.2095907866267,1072.5537354617911,16.7063758398992,16.7063758398992,1071.5624934736843,0.09250435640888403
01_001_20,L=2.0um,202020,3,0.07475000000000001,1091.824386122632,1123.3365579505312,1166.8829273293807,1127.3479571341813,37.68971536877454,37.68971536877454,1085.3314277634408,3.8713086432339483
01_001_20,L=2.0um,202020,4,0.09775,1113.5859643439803,1172.3964045002601,1242.925358954771,1176.3025759330037,64.75811440289115,64.75811440289115,1096.4058213656388,7.287151619447696
01_001_20,L=2.4um,242424,1,0.02875,1015.4931776029302,1026.1527116393336,1043.7398409593088,1028.461910067191,14.26421381382651,14.26421381382651,1056.4119516666667,2.645752119273157
01_001_20,L=2.4um,242424,2,0.051750000000000004,1091.2185760461484,1109.7618686379205,1122.4976792710045,1107.8260413183577,15.729149538235498,15.729149538235498,1071.5624934736843,3.384174797600268
01_001_20,L=2.4um,242424,3,0.07475000000000001,1123.2112737786376,1143.5962943823063,1148.1833300691815,1138.3302994100418,13.292814830970096,13.292814830970096,1085.3314277634408,4.8831969931817545
